repo_name,file_id,commit_count,churn_added,churn_deleted,total_churn,file_age_days,days_since_last_change,recent_7d_commits,recent_30d_commits,late_night_commits,late_night_ratio,weekend_commits,weekend_ratio,active_days,avg_commits_per_active_day,max_commits_one_day,burstiness_score,bug_fix_commits,bug_label
activestate-code,data/repos/activestate-code/recipes/C++/580719_Convert_Html_Pdf_ASPNET_MVC_C_SelectPdf_Free/recipe-580719.cpp,1,50,0,50,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576769_getopt/recipe-576769.c,1,36,0,36,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576770_create_a_file_and_its_parents/recipe-576770.c,1,31,0,31,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576771_whats_the_time_of_next_seconds/recipe-576771.c,1,108,0,108,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576772_a_list/recipe-576772.c,1,65,0,65,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576773_commanding_viduplex_pipe/recipe-576773.c,1,201,0,201,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576774_utilmaybe_a_lib/recipe-576774.c,1,40,0,40,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576775_pendingblocking_a_signal/recipe-576775.c,1,55,0,55,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576776_sigaction_on_SIGCHLD/recipe-576776.c,1,42,0,42,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576794_process_exist_by_reading_proc/recipe-576794.c,1,19,0,19,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576798_SelfPrinting_Program/recipe-576798.c,1,8,0,8,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576799_shared_memory/recipe-576799.c,1,14,0,14,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576813_make_subdirs/recipe-576813.c,1,90,0,90,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576825_redirect_printf_stdoutstderr/recipe-576825.c,1,29,0,29,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576855_getcwd/recipe-576855.c,1,5,0,5,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576856_code_snippets/recipe-576856.c,1,29,0,29,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576864_the_list_template/recipe-576864.c,1,40,0,40,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576916_escape_url_characters/recipe-576916.c,1,50,0,50,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/576927_Free_segmentatifault_caused_buffer/recipe-576927.c,1,52,0,52,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/577019_null_null/recipe-577019.c,1,1,0,1,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/577239_null/recipe-577239.c,1,1,0,1,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/577384_Setting_file_descriptor_blocking_or_nonblocking_/recipe-577384.c,1,22,0,22,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/577520_csc_prototype_arduino_board_pythAPI_part/recipe-577520.c,1,264,0,264,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/577589_Bit_operation/recipe-577589.c,1,147,0,147,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/577908_ImplementatiKnuthMorrisPratt/recipe-577908.c,1,77,0,77,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/578077_Finding_the_limits/recipe-578077.c,1,27,0,27,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/578088_Random_Number_Game/recipe-578088.c,1,171,0,171,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/578134_Small_random_number_generator/recipe-578134.c,1,9,0,9,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/578510_Wav_audio_file_dynamic_range/recipe-578510.c,1,355,0,355,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/578518_Recursive_string_suffix/recipe-578518.c,1,25,0,25,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/578519_Complex_numbers_dynamic/recipe-578519.c,1,42,0,42,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/579110_Add_functiPythons_builtmodule_through_C/recipe-579110.c,1,141,0,141,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/C/580799_PythonCInterface_Check_given_dictionary/recipe-580799.c,1,39,0,39,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/388133_HILO_game/recipe-388133.java,1,95,0,95,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577145_CPU_Usage_Graph_Applet/recipe-577145.java,1,82,0,82,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577146_Moving_Plasma_Fractal_Applet/recipe-577146.java,1,108,0,108,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
activestate-code,data/repos/activestate-code/recipes/Java/577147_Morphing_Plasma_Fractal_Applet/recipe-577147.java,1,140,0,140,3262,3262,0,0,0,0.0,0,0.0,1,1.0,1,1.0,0,0
